Name,Position,Birthdate,Foot,Height,Nationality,Club,Year,Path,ID,Birth_Day,Birth_Month,Birth_Year
Mohamed Faleh,Ailier gauche,5 sept. 1998 (26),right,,Tunisie,etoile sportive metlaoui,2024,/mohamed-faleh/marktwertverlauf/spieler/857044,857044,5,sept.,1998
Sadok Lingazou,Ailier gauche,9 juin 1998 (26),right,"1,78m",Tunisie,etoile sportive metlaoui,2024,/sadok-lingazou/marktwertverlauf/spieler/648511,648511,9,juin,1998
Mohamed Amine Ammar,Milieu offensif,1 août 2000 (24),,,Tunisie,etoile sportive metlaoui,2024,/mohamed-amine-ammar/marktwertverlauf/spieler/1069675,1069675,1,août,2000
Ahmed Ouled Behi,Milieu gauche,19 août 2000 (24),,,Tunisie,etoile sportive metlaoui,2024,/ahmed-ouled-behi/marktwertverlauf/spieler/1166216,1166216,19,août,2000
Amine Knaissi,Milieu central,29 juin 2000 (24),right,"1,82m",Tunisie,etoile sportive metlaoui,2024,/amine-knaissi/marktwertverlauf/spieler/693011,693011,29,juin,2000
Mohamed Khalil Zid,Milieu,24 août 2003 (21),,,Tunisie,avenir sportif de kasserine,2024,/mohamed-khalil-zid/marktwertverlauf/spieler/1015946,1015946,24,août,2003
Nizar Gassara,Arrière droit,28 déc. 1993 (31),right,"1,78m",Tunisie,avenir sportif de kasserine,2024,/nizar-gassara/profil/spieler/1023363,1023363,28,déc.,1993
Kais Madi,Arrière droit,16 nov. 1997 (27),right,"1,82m",Tunisie,avenir sportif de kasserine,2024,/kais-madi/profil/spieler/488324,488324,16,nov.,1997
Saber Atrous,Goalkeeper,- (-),,,Tunisie,grombalia sports,2024,/saber-atrous/profil/spieler/329287,329287,,,
Mohamed Aziz Kamel,Midfielder,- (-),,,Tunisie,grombalia sports,2024,/mohamed-aziz-kamel/profil/spieler/751359,751359,,,
Ibrahim Boukari,Defensive Midfield,- (-),,,Tunisie,grombalia sports,2024,/ibrahim-boukari/profil/spieler/897268,897268,,,
Amine Gharbi,Striker,- (-),,,Tunisie,grombalia sports,2024,/amine-gharbi/profil/spieler/293160,293160,,,
Hamza Letifi,Arrière droit,22 févr. 1993 (31),right,,Tunisie,avenir sportif de kasserine,2024,/hamza-letifi/profil/spieler/365037,365037,22,févr.,1993
Helmi Houass,Striker,- (-),,,Tunisie,grombalia sports,2024,/helmi-houass/profil/spieler/751362,751362,,,
Houssem Machhour,Milieu,21 déc. 1986 (38),,,Tunisie,co medenine,2024,/houssem-machhour/profil/spieler/530194,530194,21,déc.,1986
Zied Ghanmi,Gardien de but,16 juin 1991 (33),right,"1,88m",Tunisie,avenir sportif de kasserine,2024,/zied-ghanmi/profil/spieler/171000,171000,16,juin,1991
Rayane Assoudi,Gardien de but,- (-),,,Tunisie,avenir sportif de kasserine,2024,/rayane-assoudi/profil/spieler/1110969,1110969,,,
Mohamed Ben Taieb,Défense,4 janv. 1994 (31),,,Tunisie,avenir sportif de kasserine,2024,/mohamed-ben-taieb/profil/spieler/403257,403257,4,janv.,1994
Kossay Dkhillali,Défense,28 avr. 2003 (21),,,Tunisie,avenir sportif de kasserine,2024,/kossay-dkhillali/profil/spieler/1021434,1021434,28,avr.,2003
Iyed Tlili,Défense,- (-),,,Tunisie,avenir sportif de kasserine,2024,/iyed-tlili/profil/spieler/1021435,1021435,,,
Skander Hamdi,Défense,- (-),,,Tunisie,avenir sportif de kasserine,2024,/skander-hamdi/profil/spieler/1021436,1021436,,,
Ghaith Saihi,Défense,12 juin 2001 (23),,,Tunisie,avenir sportif de kasserine,2024,/ghaith-saihi/profil/spieler/1110966,1110966,12,juin,2001
Akid Dkhillali,Défenseur central,19 août 1984 (40),right,"1,82m",Tunisie,avenir sportif de kasserine,2024,/akid-dkhillali/profil/spieler/122605,122605,19,août,1984
Ayoub Kouraichi,Défenseur central,- (-),,,Tunisie,avenir sportif de kasserine,2024,/ayoub-kouraichi/profil/spieler/1258064,1258064,,,
Haythem Talbi,Arrière gauche,22 mai 1990 (34),,,Tunisie,avenir sportif de kasserine,2024,/haythem-talbi/profil/spieler/527834,527834,22,mai,1990
Chahine Smaoui,Gardien de but,18 août 2003 (21),,,Tunisie,olympique beja,2024,/chahine-smaoui/marktwertverlauf/spieler/1111132,1111132,18,août,2003
Islem Chelghoumi,Défenseur central,19 oct. 2003 (21),,,Tunisie,olympique beja,2024,/islem-chelghoumi/marktwertverlauf/spieler/1111140,1111140,19,oct.,2003
Abdelaziz Knani,Défenseur central,20 mars 2002 (22),right,"1,86m",Tunisie,olympique beja,2024,/abdelaziz-knani/marktwertverlauf/spieler/1071324,1071324,20,mars,2002
Skander Sghaier,Défenseur central,2 sept. 1997 (27),,,Tunisie,olympique beja,2024,/skander-sghaier/marktwertverlauf/spieler/898359,898359,2,sept.,1997
Nassim Hosni,Défense,1 janv. 2005 (20),,,Tunisie,olympique beja,2024,/nassim-hosni/profil/spieler/1341844,1341844,1,janv.,2005
Aziz Gharbi,Défense,16 juil. 2003 (21),,,Tunisie,olympique beja,2024,/aziz-gharbi/marktwertverlauf/spieler/1274058,1274058,16,juil.,2003
Ahmed Fatnassi,Gardien de but,1 janv. 2004 (21),,,Tunisie,olympique beja,2024,/ahmed-fatnassi/profil/spieler/1309836,1309836,1,janv.,2004
Moez Ben Cherifia,Gardien de but,24 juin 1991 (33),right,"1,82m",Tunisie,olympique beja,2024,/moez-ben-cherifia/marktwertverlauf/spieler/143581,143581,24,juin,1991
Wassim Chihi,Milieu offensif,11 oct. 2001 (23),,,Tunisie,etoile sportive du sahel,2024,/wassim-chihi/marktwertverlauf/spieler/867634,867634,11,oct.,2001
Amine Ouni,Gardien de but,4 sept. 1997 (27),,,Tunisie,co medenine,2024,/amine-ouni/profil/spieler/555688,555688,4,sept.,1997
Ibrahim Souissi,Avant-centre,23 avr. 2005 (19),right,,Tunisie,etoile sportive du sahel,2024,/ibrahim-souissi/marktwertverlauf/spieler/1100486,1100486,23,avr.,2005
Yassine Chamakhi,Avant-centre,27 févr. 1995 (29),right,"1,75m",Tunisie,etoile sportive du sahel,2024,/yassine-chamakhi/marktwertverlauf/spieler/448569,448569,27,févr.,1995
Firas Chaouat,Avant-centre,8 mai 1996 (28),right,"1,85m",Tunisie,etoile sportive du sahel,2024,/firas-chaouat/marktwertverlauf/spieler/402087,402087,8,mai,1996
Nizar Smichi,Ailier droit,30 mars 2000 (24),left,,Tunisie,etoile sportive du sahel,2024,/nizar-smichi/marktwertverlauf/spieler/1176855,1176855,30,mars,2000
Jasser Khmiri,Défenseur central,27 juil. 1997 (27),right,"1,92m",Tunisie,olympique beja,2024,/jasser-khmiri/marktwertverlauf/spieler/422666,422666,27,juil.,1997
Elyes Mejri,Arrière gauche,4 déc. 1998 (26),left,"1,78m",Tunisie,olympique beja,2024,/elyes-mejri/marktwertverlauf/spieler/596183,596183,4,déc.,1998
Aymen Ouannes,Avant-centre,2 oct. 1987 (37),right,"1,88m",Tunisie,jeunesse sportive omrane,2024,/aymen-ouannes/profil/spieler/1110957,1110957,2,oct.,1987
Chiheb Zoughlami,Avant-centre,19 déc. 1991 (33),right,"1,87m",Tunisie,jeunesse sportive omrane,2024,/chiheb-zoughlami/marktwertverlauf/spieler/184827,184827,19,déc.,1991
Ahmed Hadhri,Avant-centre,22 févr. 1995 (29),,,Tunisie,jeunesse sportive omrane,2024,/ahmed-hadhri/marktwertverlauf/spieler/843457,843457,22,févr.,1995
Mohamed Ali Omri,Avant-centre,5 avr. 2002 (22),right,"1,86m",Tunisie,jeunesse sportive omrane,2024,/mohamed-ali-omri/marktwertverlauf/spieler/1079252,1079252,5,avr.,2002
Seif Saadaoui,Ailier droit,- (-),,,Tunisie,jeunesse sportive omrane,2024,/seif-saadaoui/marktwertverlauf/spieler/1314417,1314417,,,
Malek Jammel,Ailier droit,15 déc. 1995 (29),,,Tunisie,jeunesse sportive omrane,2024,/malek-jammel/marktwertverlauf/spieler/438868,438868,15,déc.,1995
Aymen Charni,Milieu offensif,10 nov. 1985 (39),right,,Tunisie,jeunesse sportive omrane,2024,/aymen-charni/profil/spieler/159541,159541,10,nov.,1985
Mohamed Akremi,Milieu offensif,26 oct. 2001 (23),right,"1,85m",Tunisie,jeunesse sportive omrane,2024,/mohamed-akremi/profil/spieler/1021111,1021111,26,oct.,2001
Iheb Ben Rejeb,Milieu gauche,26 janv. 1996 (29),right,"1,79m",Tunisie,jeunesse sportive omrane,2024,/iheb-ben-rejeb/marktwertverlauf/spieler/1110955,1110955,26,janv.,1996
Nafaa Lamine,Milieu central,20 janv. 2004 (21),right,"1,70m",Tunisie,jeunesse sportive omrane,2024,/nafaa-lamine/profil/spieler/1106719,1106719,20,janv.,2004
Maher Argui,Milieu central,4 sept. 1999 (25),,,Tunisie,jeunesse sportive omrane,2024,/maher-argui/profil/spieler/797776,797776,4,sept.,1999
Radhouane Khalfaoui,Milieu central,21 mars 1994 (30),,,Tunisie,jeunesse sportive omrane,2024,/radhouane-khalfaoui/profil/spieler/328838,328838,21,mars,1994
Haythem Khemissi,Milieu central,- (-),,,Tunisie,jeunesse sportive omrane,2024,/haythem-khemissi/marktwertverlauf/spieler/1314418,1314418,,,
Raki Aouani,Ailier droit,11 sept. 2004 (20),right,"1,79m",Tunisie,etoile sportive du sahel,2024,/raki-aouani/marktwertverlauf/spieler/1010647,1010647,11,sept.,2004
Firas Sekkouhi,Milieu central,27 sept. 1998 (26),right,"1,78m",Tunisie,cs sfaxien,2024,/firas-sekkouhi/marktwertverlauf/spieler/709965,709965,27,sept.,1998
Cristo,Ailier droit,14 mai 2003 (21),left,"1,75m",Tunisie,cs sfaxien,2024,/cristo/marktwertverlauf/spieler/950684,950684,14,mai,2003
Anas Khardani,Gardien de but,1 janv. 2006 (19),left,"1,96m",Tunisie,etoile sportive du sahel,2024,/anas-khardani/marktwertverlauf/spieler/1342035,1342035,1,janv.,2006
Omar Ben Ali,Avant-centre,22 avr. 2005 (19),right,,Tunisie,cs sfaxien,2024,/omar-ben-ali/marktwertverlauf/spieler/1244036,1244036,22,avr.,2005
Amine Haboubi,Avant-centre,29 avr. 2002 (22),,"1,84m",Tunisie,cs sfaxien,2024,/amine-haboubi/marktwertverlauf/spieler/842934,842934,29,avr.,2002
Achref Habbassi,Ailier droit,8 déc. 2001 (23),left,"1,77m",Tunisie,cs sfaxien,2024,/achref-habbassi/marktwertverlauf/spieler/742502,742502,8,déc.,2001
Baraket Hmidi,Ailier droit,1 févr. 2003 (22),left,"1,84m",Tunisie,cs sfaxien,2024,/baraket-hmidi/marktwertverlauf/spieler/1104274,1104274,1,févr.,2003
Oussama Abid,Milieu offensif,10 août 2002 (22),right,"1,70m",Tunisie,etoile sportive du sahel,2024,/oussama-abid/marktwertverlauf/spieler/797782,797782,10,août,2002
Wadhah Zaidi,Ailier gauche,29 sept. 1998 (26),left,,Tunisie,cs sfaxien,2024,/wadhah-zaidi/marktwertverlauf/spieler/692242,692242,29,sept.,1998
Youssef Becha,Ailier gauche,13 avr. 2005 (19),,"1,72m",Tunisie,cs sfaxien,2024,/youssef-becha/marktwertverlauf/spieler/1060485,1060485,13,avr.,2005
Khalil Elloumi,Milieu offensif,26 mars 2004 (20),,"1,75m",Tunisie,cs sfaxien,2024,/khalil-elloumi/marktwertverlauf/spieler/1056228,1056228,26,mars,2004
Mohamed Aziz Sekrafi,Milieu offensif,6 janv. 2004 (21),right,,Tunisie,cs sfaxien,2024,/mohamed-aziz-sekrafi/marktwertverlauf/spieler/1103103,1103103,6,janv.,2004
Mohamed Absi,Milieu offensif,13 juin 2004 (20),right,"1,88m",Tunisie,cs sfaxien,2024,/mohamed-absi/marktwertverlauf/spieler/1106702,1106702,13,juin,2004
Mohamed Trabelsi,Milieu central,26 janv. 2004 (21),right,,Tunisie,cs sfaxien,2024,/mohamed-trabelsi/profil/spieler/1274056,1274056,26,janv.,2004
Raed Gazzeh,Gardien de but,17 oct. 2003 (21),,"1,89m",Tunisie,etoile sportive du sahel,2024,/raed-gazzeh/marktwertverlauf/spieler/1063394,1063394,17,oct.,2003
Ghofrane Naouali,Défenseur central,15 juin 1999 (25),left,"1,85m",Tunisie,etoile sportive du sahel,2024,/ghofrane-naouali/marktwertverlauf/spieler/673509,673509,15,juin,1999
Nassim Hnid,Défenseur central,12 mars 1997 (27),right,"1,91m",Tunisie,etoile sportive du sahel,2024,/nassim-hnid/marktwertverlauf/spieler/415679,415679,12,mars,1997
Zied Boughattas,Défenseur central,5 déc. 1990 (34),right,"1,93m",Tunisie,etoile sportive du sahel,2024,/zied-boughattas/marktwertverlauf/spieler/153126,153126,5,déc.,1990
Houssem Dagdoug,Défenseur central,23 juil. 1998 (26),left,"1,91m",Tunisie,etoile sportive du sahel,2024,/houssem-dagdoug/marktwertverlauf/spieler/487195,487195,23,juil.,1998
Houssem Ben Ali,Arrière gauche,10 juin 1996 (28),left,"1,74m",Tunisie,etoile sportive du sahel,2024,/houssem-ben-ali/marktwertverlauf/spieler/448546,448546,10,juin,1996
Salaheddine Ghedamsi,Arrière droit,26 août 1998 (26),right,"1,85m",Tunisie,etoile sportive du sahel,2024,/salaheddine-ghedamsi/marktwertverlauf/spieler/664571,664571,26,août,1998
Mohamed Amine Ben Amor,Milieu défensif,3 mai 1992 (32),right,"1,80m",Tunisie,etoile sportive du sahel,2024,/mohamed-amine-ben-amor/marktwertverlauf/spieler/334991,334991,3,mai,1992
Malek Baayou,Milieu défensif,29 avr. 1999 (25),right,"1,83m",Tunisie,etoile sportive du sahel,2024,/malek-baayou/profil/spieler/555911,555911,29,avr.,1999
Walid Karoui,Milieu central,25 mars 1996 (28),right,"1,78m",Tunisie,etoile sportive du sahel,2024,/walid-karoui/marktwertverlauf/spieler/368058,368058,25,mars,1996
Adem Ouertani,Milieu central,20 févr. 2003 (21),,,Tunisie,etoile sportive du sahel,2024,/adem-ouertani/marktwertverlauf/spieler/1069664,1069664,20,févr.,2003
Mohamed Amine Jebali,Milieu central,12 juil. 2002 (22),right,,Tunisie,etoile sportive du sahel,2024,/mohamed-amine-jebali/marktwertverlauf/spieler/1135201,1135201,12,juil.,2002
Mokhles Chouchane,Milieu central,4 juin 2003 (21),right,,Tunisie,etoile sportive du sahel,2024,/mokhles-chouchane/marktwertverlauf/spieler/1197490,1197490,4,juin,2003
Salah Barhoumi,Milieu central,1 janv. 2004 (21),,,Tunisie,etoile sportive du sahel,2024,/salah-barhoumi/marktwertverlauf/spieler/1065236,1065236,1,janv.,2004
Mohamed Aziz Jebali,Milieu central,1 janv. 2002 (23),,,Tunisie,etoile sportive du sahel,2024,/mohamed-aziz-jebali/marktwertverlauf/spieler/1197491,1197491,1,janv.,2002
Ghaith Ben Hamida,Milieu central,6 août 1998 (26),right,"1,75m",Tunisie,jeunesse sportive omrane,2024,/ghaith-ben-hamida/marktwertverlauf/spieler/1110952,1110952,6,août,1998
Farouk Chaouech,Milieu défensif,12 janv. 1992 (33),right,,Tunisie,jeunesse sportive omrane,2024,/farouk-chaouech/profil/spieler/568385,568385,12,janv.,1992
Mohamed Amine Borji,Milieu défensif,23 nov. 1998 (26),right,"1,79m",Tunisie,jeunesse sportive omrane,2024,/mohamed-amine-borji/profil/spieler/1110961,1110961,23,nov.,1998
Mohamed Ali Ragoubi,Milieu offensif,18 juin 1993 (31),right,"1,87m",Tunisie,olympique beja,2024,/mohamed-ali-ragoubi/marktwertverlauf/spieler/261348,261348,18,juin,1993
Yahia Mtiri,Milieu défensif,3 nov. 2004 (20),,,Tunisie,olympique beja,2024,/yahia-mtiri/marktwertverlauf/spieler/1154824,1154824,3,nov.,2004
Mohamed Aziz Taboubi,Milieu,14 janv. 2001 (24),,,Tunisie,olympique beja,2024,/mohamed-aziz-taboubi/profil/spieler/1077457,1077457,14,janv.,2001
Fares Labidi,Milieu,- (-),,,Tunisie,olympique beja,2024,/fares-labidi/profil/spieler/1373351,1373351,,,
Idriss Haboubi,Milieu,- (-),,,Tunisie,olympique beja,2024,/idriss-haboubi/profil/spieler/1373352,1373352,,,
Firas Fadhli,Milieu central,26 juin 2003 (21),right,"1,78m",Tunisie,olympique beja,2024,/firas-fadhli/marktwertverlauf/spieler/942248,942248,26,juin,2003
Souhaieb Abdelli,Milieu gauche,18 nov. 2004 (20),,"1,75m",Tunisie,olympique beja,2024,/souhaieb-abdelli/marktwertverlauf/spieler/1100828,1100828,18,nov.,2004
Rabii Hamri,Ailier gauche,26 déc. 1995 (29),right,"1,84m",Tunisie,olympique beja,2024,/rabii-hamri/marktwertverlauf/spieler/529975,529975,26,déc.,1995
Salem Bahri,Milieu,- (-),,,Tunisie,jeunesse sportive omrane,2024,/salem-bahri/profil/spieler/1371274,1371274,,,
Aziz Abid,Ailier gauche,3 avr. 2003 (21),right,"1,78m",Tunisie,olympique beja,2024,/aziz-abid/marktwertverlauf/spieler/1008460,1008460,3,avr.,2003
Maher Ben Seghaier,Ailier gauche,22 avr. 1996 (28),right,"1,82m",Tunisie,olympique beja,2024,/maher-ben-seghaier/marktwertverlauf/spieler/403255,403255,22,avr.,1996
Mohamed Hedi Hadouchi,Ailier droit,22 mai 2003 (21),,,Tunisie,olympique beja,2024,/mohamed-hedi-hadouchi/marktwertverlauf/spieler/1111137,1111137,22,mai,2003
Bechir Mkadem,Deuxième attaquant,5 mars 1998 (26),right,"1,86m",Tunisie,olympique beja,2024,/bechir-mkadem/marktwertverlauf/spieler/674986,674986,5,mars,1998
Baha Cherni,Attaquant,13 août 2003 (21),,,Tunisie,olympique beja,2024,/baha-cherni/marktwertverlauf/spieler/1197489,1197489,13,août,2003
Majd Hedhli,Milieu défensif,26 sept. 2003 (21),,,Tunisie,olympique beja,2024,/majd-hedhli/marktwertverlauf/spieler/1274059,1274059,26,sept.,2003
Elyes Dhaoui,Milieu défensif,15 avr. 2008 (16),right,,Tunisie,olympique beja,2024,/elyes-dhaoui/marktwertverlauf/spieler/1258320,1258320,15,avr.,2008
Youssef Melki,Milieu défensif,6 juin 2003 (21),,,Tunisie,olympique beja,2024,/youssef-melki/marktwertverlauf/spieler/1217000,1217000,6,juin,2003
Hamza Houiji,Milieu,26 sept. 2006 (18),,,Tunisie,olympique beja,2024,/hamza-houiji/marktwertverlauf/spieler/1258051,1258051,26,sept.,2006
Charfeddine Ouni,Milieu défensif,9 sept. 2000 (24),right,"1,79m",Tunisie,olympique beja,2024,/charfeddine-ouni/marktwertverlauf/spieler/942338,942338,9,sept.,2000
Amine Melki,Arrière droit,6 mars 2003 (21),,,Tunisie,olympique beja,2024,/amine-melki/marktwertverlauf/spieler/1234977,1234977,6,mars,2003
Rayane Hammami,Arrière gauche,14 avr. 2003 (21),,,Tunisie,olympique beja,2024,/rayane-hammami/marktwertverlauf/spieler/1258052,1258052,14,avr.,2003
Naim Machlouch,Attaquant,- (-),,,Tunisie,co medenine,2024,/naim-machlouch/profil/spieler/942237,942237,,,
Hakim Saket,Attaquant,- (-),,,Tunisie,co medenine,2024,/hakim-saket/profil/spieler/942236,942236,,,
Mohamed Amine Ben Romdhane,Avant-centre,15 sept. 1995 (29),right,"1,83m",Tunisie,co medenine,2024,/mohamed-amine-ben-romdhane/profil/spieler/403416,403416,15,sept.,1995
Khaldoun Mansour,Ailier droit,23 déc. 1993 (31),right,"1,79m",Tunisie,co medenine,2024,/khaldoun-mansour/profil/spieler/401841,401841,23,déc.,1993
Wael Chehaibi,Ailier droit,24 juin 1995 (29),right,"1,79m",Tunisie,co medenine,2024,/wael-chehaibi/profil/spieler/304271,304271,24,juin,1995
Mehdi Saada,Milieu offensif,24 juin 1987 (37),left,,Tunisie,co medenine,2024,/mehdi-saada/profil/spieler/207103,207103,24,juin,1987
Amir Berchech,Milieu défensif,21 févr. 1991 (33),,,Tunisie,co medenine,2024,/amir-berchech/profil/spieler/478150,478150,21,févr.,1991
Alaeddine Mahdaoui,Milieu,21 mars 1998 (26),,,Tunisie,co medenine,2024,/alaeddine-mahdaoui/profil/spieler/552836,552836,21,mars,1998
Obaid Mekni,Avant-centre,10 mai 2004 (20),,,Tunisie,olympique beja,2024,/obaid-mekni/marktwertverlauf/spieler/1274060,1274060,10,mai,2004
Bechir Hasni,Attaquant,9 sept. 2004 (20),,,Tunisie,olympique beja,2024,/bechir-hasni/profil/spieler/1275895,1275895,9,sept.,2004
Yassine Argoubi,Défense,- (-),,,Tunisie,jeunesse sportive omrane,2024,/yassine-argoubi/profil/spieler/1262906,1262906,,,
Mohamed Akermi,Milieu,- (-),,,Tunisie,jeunesse sportive omrane,2024,/mohamed-akermi/profil/spieler/1345800,1345800,,,
Yassine Nahdi,Milieu,- (-),,,Tunisie,jeunesse sportive omrane,2024,/yassine-nahdi/profil/spieler/1110962,1110962,,,
Fakhreddine Hammami,Milieu,- (-),,,Tunisie,jeunesse sportive omrane,2024,/fakhreddine-hammami/profil/spieler/465334,465334,,,
Mohamed Amine Khadhraoui,Milieu,- (-),,,Tunisie,jeunesse sportive omrane,2024,/mohamed-amine-khadhraoui/marktwertverlauf/spieler/1323692,1323692,,,
Firas Mahdouani,Milieu,- (-),,,Tunisie,jeunesse sportive omrane,2024,/firas-mahdouani/marktwertverlauf/spieler/1349087,1349087,,,
Hafedh Bouhouch,Arrière droit,7 juil. 1990 (34),right,"1,82m",Tunisie,jeunesse sportive omrane,2024,/hafedh-bouhouch/profil/spieler/1110950,1110950,7,juil.,1990
Hamza Rebaii,Arrière droit,15 mai 1997 (27),right,"1,82m",Tunisie,jeunesse sportive omrane,2024,/hamza-rebaii/marktwertverlauf/spieler/608855,608855,15,mai,1997
Oussema Romdhani,Arrière gauche,29 oct. 1996 (28),left,,Tunisie,jeunesse sportive omrane,2024,/oussema-romdhani/marktwertverlauf/spieler/538607,538607,29,oct.,1996
Moustapha Souissi,Arrière gauche,- (-),left,"1,8m",Tunisie,jeunesse sportive omrane,2024,/moustapha-souissi/marktwertverlauf/spieler/1110953,1110953,,,
Yassine Mizouni,Arrière gauche,27 févr. 2001 (23),left,,Tunisie,jeunesse sportive omrane,2024,/yassine-mizouni/marktwertverlauf/spieler/806486,806486,27,févr.,2001
Karim Snoussi,Défenseur central,- (-),,"1,83m",Tunisie,jeunesse sportive omrane,2024,/karim-snoussi/profil/spieler/1110956,1110956,,,
Mohamed Ali Riahi,Défenseur central,3 oct. 1990 (34),,,Tunisie,jeunesse sportive omrane,2024,/mohamed-ali-riahi/profil/spieler/751357,751357,3,oct.,1990
Samer Marouani,Défenseur central,- (-),,,Tunisie,jeunesse sportive omrane,2024,/samer-marouani/marktwertverlauf/spieler/1349086,1349086,,,
Kabil Othmani,Défenseur central,30 mars 1999 (25),right,"1,81m",Tunisie,jeunesse sportive omrane,2024,/kabil-othmani/marktwertverlauf/spieler/1023693,1023693,30,mars,1999
Omar Zouaghi,Défense,- (-),,,Tunisie,jeunesse sportive omrane,2024,/omar-zouaghi/marktwertverlauf/spieler/1262905,1262905,,,
Jihed Trabelsi,Milieu défensif,4 févr. 1997 (28),right,,Tunisie,co medenine,2024,/jihed-trabelsi/profil/spieler/508729,508729,4,févr.,1997
Ghaith Ben Hassine,Défense,- (-),,,Tunisie,jeunesse sportive omrane,2024,/ghaith-ben-hassine/marktwertverlauf/spieler/1110951,1110951,,,
Mohamed Ali Ben Frej,Gardien de but,1 janv. 1985 (40),right,"1,86m",Tunisie,jeunesse sportive omrane,2024,/mohamed-ali-ben-frej/profil/spieler/572359,572359,1,janv.,1985
Seif Nahdi,Gardien de but,- (-),,,Tunisie,jeunesse sportive omrane,2024,/seif-nahdi/profil/spieler/1262907,1262907,,,
Louay Hsairi,Gardien de but,- (-),,,Tunisie,jeunesse sportive omrane,2024,/louay-hsairi/profil/spieler/1356803,1356803,,,
Ahmed Hadfi,Gardien de but,- (-),,,Tunisie,jeunesse sportive omrane,2024,/ahmed-hadfi/profil/spieler/1110949,1110949,,,
Oussema Hanzouli,Gardien de but,28 janv. 2001 (24),,,Tunisie,jeunesse sportive omrane,2024,/oussema-hanzouli/marktwertverlauf/spieler/844474,844474,28,janv.,2001
